"id","name","city","address","latitude","longitude","future_event_count","future_session_count"
"3abaf9e4-ea9e-43c1-9774-d69b1019d786","Yeni Eski Cafe (Hasanefendi)","Aydın","Hasanefendi-ramazan Paşa, Mahallesi, 1913. Sk. No:30, 09100 Efeler/Aydın","37.85012594","27.84121174","0","0"
"be5f146f-7238-4948-8eb6-e8169748d216","Yeni Foça Retro Beach","İzmir","Fevzi Çakmak, İsmet İnönü Blv. No:6, 35680 Foça/İzmir","38.75207809","26.83538094","0","0"
"6f1383f3-5ed0-4944-bad6-967e97593844","Yeni Gazino - İstanbul","İstanbul","Maslak, Taş Yoncası Sok. Ağaoğlu Maslak 1453 Sitesi O D Blok No: 12, 34485 Sarıyer/İstanbul","41.119867","29.008535","3","3"
"24b1a224-808d-4299-add4-8cbba01bb59a","Yeni Mahalle Kültür Merkezi","Antalya","2428. sokak No:43, 07060 Kepez/Antalya","37.6958913","26.6763015","0","0"
"8531d587-ff06-42b9-85a9-6a39ea92d774","Yeni Sahne","Ankara","Kızılay, Menekşe-1 Sk. 8/A, 06420 Çankaya/Ankara","39.92343074","32.8523618","0","0"
"90be59a2-8a05-4ad4-a0ab-6c02b0aae758","Yenimahalle 4 Mevsim Tiyatro Salonu","Ankara","Gayret, İvedik Cd. No:35, 06170 Yenimahalle/Ankara","39.96304453","32.81006552","2","2"
"0b92b3cb-14e7-44c2-88e2-696b318f7d92","Yenimahalle Bld.4 Mevsim Tiyatro Salonu","Ankara","Yenimahalle Bld.4 Mevsim Tiyatro Salonu, YENİMAHALLE, Ankara, Türkiye","39.9622386260429","32.8097221980174","4","6"
"a5e51d35-bfbf-403a-8c0d-cd85b2162ee7","Yenimahalle Nazım Hikmet K. M. Genco Erkal Sahnesi","Ankara","Mehmet Akif Ersoy, Nazım Hikmet Kültür Mrk. İç Yolu, 06200 Yenimahalle/Ankara","39.9607691","32.7784694","1","1"
"98a78b3a-21fb-4c4b-97f0-b33074a41d90","Yenimahalle Nazım Hikmet K.M - Yıldız Kenter Tiyatro Salonu","Ankara","Yenimahalle Nazım Hikmet K.M - Yıldız Kenter Tiyatro Salonu, YENİMAHALLE, Ankara, Türkiye","39.9608364643647","32.77821756316","2","2"
"189c2592-773a-4fd1-b802-a8dc0b851212","Yenimahalle Nazım Hikmet Kültür Merkezi - Genco Erkal Salonu","Ankara","Yenimahalle Nazım Hikmet Kültür Merkezi - Genco Erkal Salonu , YENİMAHALLE, Ankara, Türkiye","39.9608364643647","32.77821756316","3","4"
"1c8b3b33-5ac6-4d96-b14b-97048b490b5a","Yenimahalle Nazım Hikmet Kültür Merkezi-Genco Erkal Sahnesi","Ankara","Mehmet Akif Ersoy, Nazım Hikmet Kültür Mrk. İç Yolu, 06200 Yenimahalle/Ankara","39.96146967","32.77832217","1","1"
"8bc05514-6293-4ff9-8564-389ff6c6f225","Yenişehir Belediyesi Akademi Sahnesi","Mersin","Pirireis, 1131. Sk. No: 4, 33160 Yenişehir/Mersin","36.78841621","34.61146267","0","0"
"344395b4-71cb-4e99-989b-cd8335002c11","Yenişehir Belediyesi Atatürk Kültür Merkezi","Mersin","Yenişehir Belediyesi Atatürk Kültür Merkezi, YENİŞEHİR, Mersin, Türkiye","36.794012","34.57276","8","8"
"5420ddf6-5cf7-4ccb-a76f-9feebf9416a5","Yenişehir Belediyesi Atatürk Kültür Merkezi Barış Salonu","Mersin","Yenişehir Belediyesi Atatürk Kültür Merkezi Barış Salonu, YENİŞEHİR, Mersin, Türkiye","36.798661","34.595093","8","8"
"ca9b944c-b8a2-4053-a07b-a17ce97d5fe8","Yenişehir Belediyesi Konferans Salonu","Mersin","Limonluk, 13. Cd. No: 11, 33120 Yenişehir/Mersin (Merkezi Palmcity karşısı)","36.80102073","34.59319749","0","0"
"5c55e3bd-ad22-4191-851d-44acb1ca570b","Yenişehir Belediyesi Çok Amaçlı Salonu","Mersin","Limonluk, 36. Cadde No:3, 33120 Yenişehir/Mersin","36.80050864","34.59354302","0","0"
"b30fd96d-5141-464a-9693-194c64fd285c","Yenişehir Büyük Kulüp /","Karabük","Büyük Kulüb Yenişehir / Karabük Çamlık CD. No:2 78200 Karabük merkez","41.2024534","32.61620045","0","0"
"85d85c2b-144f-4a42-8079-3895f5a85662","Yenişehir Cnr Fuar Alanı","Mersin","Akkent, 34. Cadde No:4, 33160 Yenişehir/Mersin, Türkiye","36.76656687","34.5536726","0","0"
"92e5d3af-c97d-4ec5-a8b3-6c365dd9f482","Yenişehir Konferans Salonu","Karabük","Yenişehir, 78200 Karabük Merkez/Karabük\nKarabük Stadyumu Kapalı Tribün girişinin karşısı","41.20394081","32.61950195","0","0"
"9c03ebf9-2ff3-4576-9dda-c04d7f199751","Yenişehir Kültür Merkezi","Ankara","","0","0","2","4"
"b3a8e16e-247b-4471-955a-c2cade329743","Yenişehir Merkez Kapalı Spor Salonu","Karabük","Yenişehir, Ali Reis Sk. 8 A, 78200 Karabük Merkez/Karabük","41.20535071","32.61890848","0","0"
"c3c19fc1-6bfe-4706-a601-84a9cf2813cf","Yirmi Üç Event & Organization","Bursa","23 Nisan, Mithatpaşa Cd. No15B A blok, 16230 Ni̇lüfer/Bursa","40.21990606","28.94207337","0","0"
"da1a0245-df67-4736-9ba4-13abb0bf538e","Yobo Cafe","Bursa","Fethiye, Sanayi Cd. CORNER PLUS İŞ MERKEZİ NO: 263B, 16110, 16000 Ni̇lüfer/Bursa","40.23174803","28.98208572","0","0"
